
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-08-22 15:11:49 /build/assets/chevron-right-B6TqFNqg.js .............................................. ~ 0.19ms
  2026-08-22 15:11:49 /build/assets/AppSidebarLayout-C66usCqP.css .......................................... ~ 0.08ms
  2026-08-22 15:11:49 /images/blitz-logo.webp .............................................................. ~ 0.05ms
  2026-08-22 15:11:49 /api/captcha-providers ................................................................... ~ 1s
  The system cannot find the path specified.
  2026-08-22 15:11:50 /api/captcha/control/status ........................................................ ~ 512.01ms
  2026-08-22 15:11:50 /api/ivac-endpoints ...................................................................... ~ 1s
  The system cannot find the path specified.
  2026-08-22 15:12:04 /api/captcha/control/status .............................................................. ~ 1s
  The system cannot find the path specified.
  2026-08-22 15:12:19 /api/captcha/control/status ........................................................ ~ 514.97ms
  2026-08-22 15:12:28 /login ................................................................................... ~ 1s
  2026-08-22 15:12:29 /dashboard ............................................................................... ~ 1s
  2026-08-22 15:12:30 /build/assets/AppSidebarLayout-C66usCqP.css .......................................... ~ 0.08ms
  2026-08-22 15:12:30 /build/assets/Dashboard-BatkB8L5.js .................................................. ~ 1.43ms
  2026-08-22 15:12:30 /build/assets/AppLayout.vue_vue_type_script_setup_true_lang-CDu5C6NJ.js .............. ~ 2.91ms
  2026-08-22 15:12:30 /build/assets/AppSidebarLayout.vue_vue_type_script_setup_true_lang-CSLWTG4v.js ....... ~ 3.18ms
  2026-08-22 15:12:30 /build/assets/mail-BcIk-dkq.js ....................................................... ~ 3.34ms
  2026-08-22 15:12:30 /build/assets/chevron-right-B6TqFNqg.js .............................................. ~ 6.22ms
  2026-08-22 15:12:30 /build/assets/arrow-up-right-BUfxKWwc.js ............................................. ~ 0.12ms
  2026-08-22 15:12:30 /build/assets/activity-DzEtYjJ4.js ................................................... ~ 4.56ms
  2026-08-22 15:12:30 /build/assets/circle-check-Bi9Xmlom.js ............................................... ~ 2.31ms
  2026-08-22 15:12:30 /build/assets/circle-x-BMMTN5aS.js ................................................... ~ 2.01ms
  2026-08-22 15:12:30 /build/assets/zap-ZpEuA8PK.js ........................................................ ~ 3.13ms
  2026-08-22 15:12:30 /api/captcha-providers ............................................................. ~ 510.26ms
  The system cannot find the path specified.
  2026-08-22 15:12:30 /api/captcha/control/status .............................................................. ~ 1s
  2026-08-22 15:12:30 /api/bot/status .......................................................................... ~ 2s
  2026-08-22 15:12:34 /accounts .......................................................................... ~ 517.53ms
  The system cannot find the path specified.
  2026-08-22 15:12:35 /api/captcha/control/status .............................................................. ~ 1s
  2026-08-22 15:12:35 /ivac-endpoints .......................................................................... ~ 1s
  2026-08-22 15:12:36 /bypass-ips .............................................................................. ~ 1s
  2026-08-22 15:12:38 /apk-manager ............................................................................. ~ 1s
  2026-08-22 15:12:39 /vps-manager ......................................................................... ~ 0.06ms
  2026-08-22 15:12:39 /bot-control ............................................................................. ~ 1s
  2026-08-22 15:12:40 /build/assets/Index-BsvleSQt.js ...................................................... ~ 0.13ms
  2026-08-22 15:12:40 /build/assets/index-BTnYw6RG.js ...................................................... ~ 1.84ms
  2026-08-22 15:12:40 /build/assets/DialogTitle.vue_vue_type_script_setup_true_lang-Dw5-pTmZ.js ............ ~ 3.53ms
  2026-08-22 15:12:40 /build/assets/DialogDescription.vue_vue_type_script_setup_true_lang-BJUeNds8.js ...... ~ 3.91ms
  2026-08-22 15:12:40 /build/assets/DialogFooter.vue_vue_type_script_setup_true_lang-D9qFeLfa.js ........... ~ 4.14ms
  2026-08-22 15:12:40 /build/assets/TableCell.vue_vue_type_script_setup_true_lang-C10PdRKF.js .............. ~ 4.48ms
  2026-08-22 15:12:40 /build/assets/circle-stop-BhVz6Dbc.js ................................................ ~ 0.09ms
  2026-08-22 15:12:40 /build/assets/refresh-cw-B4I-tE4I.js ................................................. ~ 1.35ms
  2026-08-22 15:12:40 /build/assets/trash-2-Z_3x-2MY.js .................................................... ~ 3.10ms
  2026-08-22 15:12:40 /build/assets/plus-D0tEGST6.js ....................................................... ~ 4.39ms
  2026-08-22 15:12:40 /build/assets/cloud-D38GNwjZ.js ...................................................... ~ 6.71ms
  2026-08-22 15:12:40 /build/assets/scroll-text-oH-QlJve.js ................................................ ~ 1.78ms
  2026-08-22 15:12:40 /build/assets/package-DNKzS4IT.js .................................................... ~ 0.15ms
  2026-08-22 15:12:40 /build/assets/terminal-C7UuWrda.js ................................................... ~ 1.45ms
  2026-08-22 15:12:40 /build/assets/copy-BIRNYvOT.js ....................................................... ~ 2.56ms
  2026-08-22 15:12:40 /build/assets/download-CvNz3NKc.js ................................................... ~ 3.77ms
  2026-08-22 15:12:40 /build/assets/search-9lDY3b3l.js ..................................................... ~ 4.85ms
  2026-08-22 15:12:40 /build/assets/triangle-alert-B6uvZR4J.js ............................................. ~ 6.13ms
  2026-08-22 15:12:40 /api/agent-slots ................................................................... ~ 506.62ms
  2026-08-22 15:12:40 /api/captcha-providers ............................................................. ~ 510.65ms
  The system cannot find the path specified.
  2026-08-22 15:12:40 /api/captcha/control/status .............................................................. ~ 1s
  2026-08-22 15:12:40 /api/accounts ............................................................................ ~ 1s
  2026-08-22 15:12:40 /api/payment-links/phones ................................................................ ~ 2s
  2026-08-22 15:12:40 /api/bot/jar-status ...................................................................... ~ 2s
  2026-08-22 15:12:43 /api/otps/count .................................................................... ~ 510.50ms
  2026-08-22 15:12:43 /api/agent-slots ......................................................................... ~ 1s
  2026-08-22 15:12:45 /api-tester ........................................................................ ~ 501.47ms
  2026-08-22 15:12:46 /gmail ............................................................................. ~ 510.80ms
  2026-08-22 15:12:46 /payment-links ..................................................................... ~ 508.09ms
  2026-08-22 15:12:47 /otps .............................................................................. ~ 509.89ms
  2026-08-22 15:12:48 /build/assets/Index-pXkiTtYV.js ...................................................... ~ 0.29ms
  2026-08-22 15:12:48 /build/assets/arrow-up-BMHWpbSP.js .................................................. ~ 12.11ms
  2026-08-22 15:12:48 /build/assets/arrow-up-down-CyC-ikif.js ............................................. ~ 22.36ms
  2026-08-22 15:12:48 /build/assets/send-DP8inZeh.js ...................................................... ~ 25.48ms
  2026-08-22 15:12:48 /api/captcha-providers ............................................................. ~ 504.42ms
  The system cannot find the path specified.
  2026-08-22 15:12:48 /api/captcha/control/status .............................................................. ~ 1s
  2026-08-22 15:12:49 /api/otps ................................................................................ ~ 1s
  The system cannot find the path specified.
  2026-08-22 15:12:50 /api/captcha/control/status ........................................................ ~ 506.02ms
  2026-08-22 15:12:51 /api/otps .......................................................................... ~ 517.86ms
  2026-08-22 15:12:54 /api/otps .......................................................................... ~ 500.85ms
  2026-08-22 15:12:57 /api/otps .......................................................................... ~ 508.60ms
  2026-08-22 15:13:00 /api/otps .......................................................................... ~ 514.66ms
  The system cannot find the path specified.
  2026-08-22 15:13:03 /api/captcha/control/status ........................................................ ~ 514.79ms
  2026-08-22 15:13:04 /api/otps .......................................................................... ~ 496.11ms
  The system cannot find the path specified.
  2026-08-22 15:13:04 /api/captcha/control/status ........................................................ ~ 502.18ms
  2026-08-22 15:13:06 /api/otps .......................................................................... ~ 504.76ms
  2026-08-22 15:13:09 /api/otps .......................................................................... ~ 518.06ms
